iter	Logloss
0	0.6538895238
1	0.6300503824
2	0.6161192472
3	0.6114952437
4	0.6017256511
5	0.5991233016
6	0.5969622764
7	0.5946489393
8	0.5930086145
9	0.5893129605
10	0.5882330047
11	0.5871364468
12	0.5862403567
13	0.5848946963
14	0.5842541626
15	0.5816074783
16	0.5811020082
17	0.5806233483
18	0.5802583785
19	0.5784525045
20	0.5780943037
21	0.5777935207
22	0.5776146433
23	0.5773510176
24	0.576456564
25	0.5762266161
26	0.5756595791
27	0.5753704683
28	0.5751215816
29	0.5750877545
30	0.5749179953
31	0.5746922921
32	0.574507643
33	0.5740766721
34	0.5740054275
35	0.5738714665
36	0.5737264565
37	0.5735181989
38	0.5734048061
39	0.5732395654
40	0.5731349813
41	0.572955173
42	0.5728874542
43	0.5728119441
44	0.5727071862
45	0.5726253337
46	0.5725161769
47	0.5723641546
48	0.5722443027
49	0.5721140517
50	0.5719074242
51	0.5718526673
52	0.5717371051
53	0.571707724
54	0.5716342868
55	0.5715343954
56	0.5714967306
57	0.5714326744
58	0.571298131
59	0.5711727553
60	0.5711133816
61	0.5710275879
62	0.5709083642
63	0.5708370247
64	0.5708040762
65	0.5707677756
66	0.5707173793
67	0.5706701527
68	0.5705944503
69	0.5705160115
70	0.5704574127
71	0.5703322703
72	0.5702482871
73	0.5701903959
74	0.5701164817
75	0.5700416887
76	0.5700120157
77	0.569961631
78	0.5699597813
79	0.5699105253
80	0.5698488015
81	0.5698341869
82	0.5698080677
83	0.5697636263
84	0.5690304594
85	0.5690304594
86	0.5689875973
87	0.5689875973
88	0.5689875973
89	0.5689875973
90	0.5689870761
91	0.5689511453
92	0.5689245822
93	0.5689245822
94	0.5689091678
95	0.5688995961
96	0.5688995961
97	0.5688976717
98	0.5688586461
99	0.5688122592
100	0.5688120748
101	0.5688120748
102	0.5687843478
103	0.56874786
104	0.56874786
105	0.5687249615
106	0.5687249615
107	0.5687184185
108	0.5686491812
109	0.5686251828
110	0.5685328956
111	0.5685328956
112	0.5684250706
113	0.5684067434
114	0.568308389
115	0.5681054032
116	0.5680927333
117	0.5680195407
118	0.5679836511
119	0.5679026495
120	0.5678785212
121	0.5676906829
122	0.567572953
123	0.5675171794
124	0.5674844612
125	0.5674418885
126	0.566757511
127	0.566757511
128	0.5666692611
129	0.5666692611
130	0.5666692611
131	0.5666692611
132	0.5666692611
133	0.5666330911
134	0.5665684753
135	0.5665684753
136	0.5665684753
137	0.5665518364
138	0.5665345657
139	0.5663766001
140	0.5663749606
141	0.5662915041
142	0.5662915041
143	0.5662359027
144	0.5662070179
145	0.5661804273
146	0.5661691276
147	0.5659833277
148	0.5659810521
149	0.5659760813
150	0.5659692604
151	0.5658880811
152	0.5658820478
153	0.5658427043
154	0.5658159382
155	0.5657173782
156	0.5656786356
157	0.5656302561
158	0.5655518081
159	0.5654977823
160	0.5654334346
161	0.565353238
162	0.5653132088
163	0.5653132088
164	0.5652006067
165	0.5651852697
166	0.5651638323
167	0.5651201404
168	0.5650428674
169	0.5650064122
170	0.5649365236
171	0.5648978399
172	0.5648822533
173	0.5648014663
174	0.5647776507
175	0.5646985228
176	0.5646147354
177	0.5645823768
178	0.5645157454
179	0.5644514537
180	0.5644139711
181	0.5643494894
182	0.564305762
183	0.564246551
184	0.5642028891
185	0.5641115694
186	0.5640563157
187	0.5639981234
188	0.5639468034
189	0.5638939052
190	0.5638712998
191	0.5638696676
192	0.5637916318
193	0.563723369
194	0.5636417041
195	0.563554467
196	0.5635186859
197	0.5634696597
198	0.5634360261
199	0.5633968417
200	0.5633408343
201	0.563267452
202	0.5631983118
203	0.5631398824
204	0.5631398824
205	0.5630904312
206	0.5630176284
207	0.5629357014
208	0.5628836502
209	0.5628539666
210	0.5628281523
211	0.56279299
212	0.5627381296
213	0.5627079125
214	0.5626937073
215	0.5626416535
216	0.5625930426
217	0.5625494071
218	0.5625252797
219	0.5625039916
220	0.5624565766
221	0.5624123781
222	0.5623634537
223	0.5623157795
224	0.5622713732
225	0.5622464685
226	0.5621916899
