iter	Logloss
227	0.5621556478
228	0.5620950481
229	0.562044242
230	0.5620133301
231	0.5619731431
232	0.5619484514
233	0.5618690586
234	0.5618380941
235	0.5617955426
236	0.5617685195
237	0.561696105
238	0.5616909458
239	0.561608676
240	0.5615943137
241	0.5614852823
242	0.5614616161
243	0.5613900467
244	0.561360368
245	0.5613099489
246	0.561271751
247	0.5612081985
248	0.5611493335
249	0.561101795
250	0.5610709044
251	0.5610438748
252	0.5610388384
253	0.5610156337
254	0.5609831506
255	0.5609308636
256	0.5608985481
257	0.5608938697
258	0.5608388203
259	0.5608292536
260	0.5607784843
261	0.5607529953
262	0.560707893
263	0.5606416393
264	0.560553968
265	0.5605361775
266	0.5605247143
267	0.5604928403
268	0.5604543311
269	0.560416411
270	0.5603926788
271	0.5603382287
272	0.5602941694
273	0.5602468422
274	0.5602468422
275	0.5601920502
276	0.5601508424
277	0.5601023854
278	0.5600489539
279	0.5600282288
280	0.5599716841
281	0.5599383709
282	0.5598878451
283	0.5598588302
284	0.5598311321
285	0.5597796945
286	0.5597732346
287	0.55971678
288	0.5596711472
289	0.5595955535
290	0.5595636159
291	0.5595144834
292	0.5594922082
293	0.5594435015
294	0.5594197454
295	0.5593516181
296	0.5593238286
297	0.5593238286
298	0.5592928903
299	0.5592881293
300	0.5592295419
301	0.5592295419
302	0.5592054686
303	0.5591764567
304	0.5591428264
305	0.559112392
306	0.5591022973
307	0.5590670974
308	0.5590432986
309	0.5590176828
310	0.5590176542
311	0.5590056978
312	0.5589811625
313	0.5588670178
314	0.5588278329
315	0.5587475406
316	0.5587222987
317	0.5586950946
318	0.5586404747
319	0.5585981853
320	0.55856944
321	0.5585036752
322	0.558470049
323	0.5584493546
324	0.5584353432
325	0.5584099866
326	0.5583860198
327	0.5583860198
328	0.5583566684
329	0.5583279073
330	0.5582956988
331	0.5582765813
332	0.5582724068
333	0.558266676
334	0.558249004
335	0.5582088766
336	0.558160685
337	0.5581291687
338	0.5581052324
339	0.5581011275
340	0.5580469668
341	0.5580074349
342	0.5579886512
343	0.5579599666
344	0.5579187955
345	0.5579187955
346	0.5578482913
347	0.5578240473
348	0.5577977381
349	0.5577877609
350	0.5577530914
351	0.557724708
352	0.5576618178
353	0.5576591922
354	0.5576551394
355	0.5576225143
356	0.5575652384
357	0.5575268734
358	0.5574757566
359	0.5574453062
360	0.5573532802
361	0.5573336048
362	0.557291994
363	0.5572658474
364	0.5572452274
365	0.5572186026
366	0.5571873106
367	0.5571642829
368	0.5571139209
369	0.5570724201
370	0.5570125191
371	0.5569739426
372	0.5569707877
373	0.5569260889
374	0.5568879626
375	0.5568417768
376	0.5568372328
377	0.5568219783
378	0.5567926325
379	0.5567428477
380	0.5567116293
381	0.5566981739
382	0.5566774875
383	0.5566555766
384	0.5566150095
385	0.5565862179
386	0.5565585498
387	0.556522546
388	0.5565080774
389	0.5564935093
390	0.5564320002
391	0.5563434451
392	0.5563138486
393	0.5563006851
394	0.5562768026
395	0.556263593
396	0.5561762656
397	0.5561113761
398	0.5561022267
399	0.5560824617
